"","B_01_MS4A1","B_02_MS4A1_CD83","B_03_MZB1","B_04_STMN1","CD4T_01_CCR7","CD4T_02_SELL","CD4T_03_GPR183","CD4T_04_BAG3","CD4T_05_CD69","CD4T_06_PLCG2","CD4T_07_CXCL13","CD4T_08_STMN1","CD4T_09_FOXP3","CD4T_10_FOXP3_CTLA4","CD4T_11_FOXP3_STMN1","CD8T_01_CCR7","CD8T_02_CX3CR1","CD8T_03_GZMK_S1PR1","CD8T_04_GNLY","CD8T_05_KLRD1","CD8T_06_CD69","CD8T_07_PLCG2","CD8T_08_GZMK","CD8T_09_PDCD1_IFNG","CD8T_10_PDCD1","CD8T_11_SLC4A10","CD8T_12_IFIT3","CD8T_13_STMN1","DC_01_CLEC9A","DC_02_CD1C","DC_03_LAMP3","DC_04_CD207","DC_05_LILRA4","DC_06_STMN1","EC_01_CLEC4A","EC_02_CLEC4A_APOA2","EC_03_TFF3","EC_04_ACKR1","EC_05_KDR","EC_06_KDR_ESM1","EC_07_KDR_APOA2","EC_08_IGFBP3","EC_09_PLCG2","EC_10_STMN1","Fb_01_FAP","Fb_02_CXCL12","Fb_03_KLF4","Fb_04_FABP4","gdT_01_GNLY_S1PR5","gdT_02_GNLY","gdT_03_KLRD1","gdT_04_STMN1","Mast","Mo_01_CD14","Mo_02_CD16","Mono-like_01_CD14","Mono-like_02_CD16","Mono-like_03_CD14CD16","MonoDC","Mph_01_MARCO","Mph_02_CCL20","Mph_03_SPP1","Mph_04_TREM2","Mph_05_IL1B","Mph_06_CXCL9","Mph_07_SLC40A1","Mph_08_APOE","Mph_09_STMN1","Mu_01_MYH11","Mu_02_ABCC9","Mu_03_STMN1","Neu_01_MMP8","Neu_02_S100A12","Neu_03_ISG15","Neu_04_TXNIP","Neu_05_ELL2","Neu_06_PTGS2","Neu_07_APOA2","Neu_08_CD74","Neu_09_IFIT1","Neu_10_SPP1","Neu_11_CCL4","NK_01_FCGR3A_CX3CR1","NK_02_FCGR3A_CXCR4","NK_03_FCGR3A_IFNG","NK_04_PLCG2","NK_05_CD160","NK_06_ITGA1","NK_07_STMN1"
"A048_ICC_IM1",1,2,15,0,0,1,7,1562,27,197,3,6,0,441,3,0,0,0,21,0,34,127,0,14,2,1,34,33,0,19,0,4,0,3,0,0,18,2,14,1,0,34,0,0,417,1,0,0,0,747,4,30,13,0,1,3,2,0,0,0,14,42,416,1,4,4,22,8,79,244,3,0,0,0,0,0,2,0,1,2,21,1,0,6,22,2,18,1105,90
"A048_ICC_IM2",0,1,5,0,1,1,1,532,13,598,1,1,1,176,8,0,5,0,12,0,28,710,0,51,4,6,39,98,1,21,1,5,0,4,0,0,11,6,2,0,0,17,0,0,135,0,0,0,0,1055,3,110,11,2,0,2,0,1,0,0,5,50,604,0,2,7,30,27,16,23,2,0,0,0,0,1,2,0,7,2,39,0,2,7,6,15,5,941,135
"A048_ICC_IM3",3,2,5,0,0,0,3,605,8,836,5,0,0,225,24,0,4,0,19,0,23,741,0,27,40,6,47,104,3,47,5,7,0,5,4,0,14,6,34,1,0,52,0,3,248,5,0,0,2,697,9,66,10,3,0,6,1,13,0,0,8,28,186,0,2,9,57,29,41,137,1,0,0,0,0,0,1,0,2,7,128,2,3,45,21,12,6,397,54
"A048_ICC_IM4",2,3,1,0,0,0,1,1545,9,142,1,1,0,128,4,0,0,0,3,0,17,188,0,13,2,0,35,23,0,2,0,1,0,3,0,0,15,3,3,0,0,6,0,3,49,1,0,0,0,276,1,5,0,0,0,1,0,1,0,0,6,19,478,0,7,4,28,18,18,13,0,0,0,0,0,0,3,0,5,2,101,7,0,1,3,0,3,255,28
"A049_HCC",0,13,4,0,0,0,3,0,80,0,2,0,0,25,0,0,0,0,15,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,0,0,1,3,58,297,114,0,12,2,5,0,0,0,0,0,0,0,0,0,0,0,11,0,4,0,0,0,13,5,287,2,5,596,302,5,0,0,0,0,0,0,2,0,0,0,0,0,25,0,0,11,0,2
"A050_HCC",0,3,3,1,0,0,22,0,456,0,0,10,0,31,1,0,0,0,39,0,0,0,23,0,1,11,0,0,0,81,3,0,0,2,0,0,0,28,58,149,553,69,0,10,0,2,0,2,0,0,0,0,121,0,0,0,1,170,0,0,0,0,0,13,1,1390,24,21,33,61,0,0,0,0,0,0,0,14,0,0,0,0,0,155,0,0,97,0,11
"A051_HCC",1548,127,81,4,102,0,1,40,43,1196,44,10,19,1067,53,7,389,30,89,0,48,916,59,169,2,507,758,139,38,252,18,2,8,27,3,0,15,26,6,1,0,39,0,6,12,28,0,0,6,5,15,10,131,14,17,13,7,41,13,7,68,26,125,1,30,74,87,88,5,51,1,0,0,0,0,1,0,3,4,1,2,0,7,63,3,134,3,8,35
"A052_CHC",0,20,10,2,0,1,295,5,48,3,115,60,1,385,49,0,0,0,12,0,401,6,8,18,712,8,10,283,1,8,9,50,8,7,0,0,0,0,0,2,0,2,0,3,2,0,0,0,0,5,14,1,4,0,0,27,4,8,0,0,200,85,48,38,160,55,50,49,0,1,1,0,0,0,0,0,1,3,1,2,136,16,0,11,0,4,13,84,29
"A053_LYM_M",31,320,553,21,2,11,831,5,110,54,583,32,0,342,12,0,1,0,19,2,1142,3,0,98,915,89,116,99,11,18,5,0,3,0,1,0,5,28,6,1,0,24,0,2,25,18,7,0,0,2,50,0,12,0,0,8,1,8,0,2,38,3,106,9,96,2,20,0,24,69,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,11,16,6
"A054_HCC",0,4,16,1,0,15,406,11,201,19,4,59,0,83,3,0,1,0,492,54,527,15,2,1,11,188,7,26,127,107,13,0,7,39,5,0,8,449,1202,219,14,213,1,115,11,31,0,0,2,1,156,23,5,3,2,222,86,116,2,3,7,10,5,279,25,1245,53,82,96,33,1,0,0,0,0,1,0,1,0,0,1,0,8,554,76,47,3362,22,212
